Time (s),Volts (mV),Power (mW),Remaining %,Battery Current (mA),Batt. Temp (ºC)
152,3682,7509,39,7398,37
157,3687,6533,39,7572,41
162,3713,6304,42,7590,36
167,3686,6718,42,7608,37
173,3652,6500,42,7620,39
178,3716,6577,42,7598,37
183,3739,6759,45,7548,38
188,3735,7183,45,7358,38
193,3724,6759,45,7584,41
198,3666,7966,45,7244,40
203,3748,6897,45,7644,38
208,3731,6604,45,7372,40
213,3674,7384,45,7394,41
218,3716,6543,45,7554,42
223,3687,6638,45,7580,41
228,3742,6668,45,7544,40
233,3698,6638,46,7524,40
238,3729,6934,46,7536,44
243,3687,6940,46,7664,43
248,3753,6624,46,7590,44
253,3753,6607,49,7452,40
258,3712,6577,49,7534,42
263,3671,6543,49,7564,43
268,3681,7556,49,7308,42
273,3747,6708,49,7588,42
278,3704,6836,49,7594,45
283,3704,6675,49,7476,44
288,3737,6839,49,7496,40
293,3747,6853,49,7498,44
298,3704,6691,49,7510,47
303,3725,6708,49,7512,48
308,3741,7193,49,7370,43
313,3741,6829,49,7492,43
318,3721,7226,49,7324,34
323,3747,6836,49,7494,45
328,3729,7408,49,7382,45
333,3763,6685,49,7492,42
338,3712,6866,49,7466,45
343,3744,6587,49,7546,44
348,3776,6907,49,7502,46
353,3732,6654,50,7494,45
358,3711,6708,50,7486,46
363,3730,6580,50,7484,46
368,3714,6900,50,7494,44
373,3759,6752,50,7548,44
378,3695,7381,50,7254,46
383,3743,6641,50,7478,45
388,3745,6792,50,7576,42
393,3719,6957,50,7472,45
398,3706,6587,50,7492,45
403,3757,6614,50,7518,45
408,3738,7051,50,7470,46
413,3711,6701,50,7584,49
418,3719,6802,50,7464,49
423,3698,7045,50,7352,46
428,3741,6812,50,7556,46
434,3738,6614,50,7534,47
439,3711,7371,50,7262,49
444,3740,7590,50,7266,45
449,3701,7502,50,7298,50
454,3770,6786,50,7442,49
459,3737,6917,50,7534,50
464,3727,6668,50,7414,46
469,3753,6796,50,7500,47
474,3722,6957,50,7470,47
479,3730,6950,50,7512,46
484,3748,6984,50,7312,49
489,3745,6934,50,7484,46
494,3751,6806,50,7462,48
499,3740,6984,50,7452,49
504,3727,7270,50,7282,47
509,3724,6735,50,7562,47
514,3762,6873,50,7474,53
519,3766,7509,50,7450,51
524,3727,6839,50,7484,47
529,3753,6604,51,7452,47
534,3706,7314,51,7300,48
539,3740,6708,51,7494,48
544,3777,7391,51,7238,46
549,3714,6930,51,7432,50
554,3758,6934,51,7482,50
559,3732,6853,51,7462,48
564,3730,6984,51,7458,48
569,3748,6675,51,7462,50
574,3782,6614,51,7506,50
579,3740,7001,51,7456,50
584,3742,6839,51,7502,48
589,3775,6698,51,7532,48
594,3726,6607,51,7496,50
599,3771,9272,51,6720,49
604,3731,6301,51,7440,49
609,3752,6701,51,7442,52
614,3738,6836,51,7466,48
619,3715,6614,51,7426,47
624,3712,7701,51,7228,52
629,3763,6819,51,7516,47
634,3733,6638,51,7432,47
639,3728,6681,51,7402,48
644,3757,6960,51,7448,49
649,3773,7415,51,7440,48
654,3722,6668,51,7464,49
659,3763,6668,51,7420,50
664,3800,7139,51,7428,48
669,3738,7011,51,7436,48
674,3807,7095,52,7454,48
679,3789,7304,52,7210,48
684,3741,7354,52,7216,48
689,3741,6675,52,7424,52
694,3752,7018,52,7228,51
699,3768,6890,52,7420,48
704,3778,6638,52,7448,50
709,3795,6863,52,7446,49
714,3772,7684,52,7272,47
719,3751,7304,52,7204,47
724,3790,7038,53,7470,50
729,3779,6641,53,7452,47
734,3805,6691,53,7468,48
739,3784,7711,53,7204,48
744,3755,7294,53,7270,48
749,3708,6664,53,7486,49
754,3796,6725,54,7486,49
759,3805,6658,54,7404,48
764,3755,6607,54,7412,49
770,3790,6819,54,7458,48
775,3747,6638,54,7398,50
780,3777,6631,54,7438,50
785,3759,6718,54,7450,52
790,3809,6698,54,7404,48
795,3803,6984,54,7414,48
800,3743,7324,54,7220,51
805,3769,6853,54,7386,50
810,3748,7226,54,7456,53
815,3816,6735,54,7482,50
820,3790,6994,54,7388,50
825,3806,6802,54,7382,49
830,3761,6691,56,7422,50
835,3751,6792,57,7454,51
840,3735,6752,57,7460,50
845,3814,6806,57,7382,50
850,3778,7061,57,7418,49
855,3770,6913,58,7380,52
860,3796,7738,58,7224,53
865,3807,6631,58,7332,52
870,3802,7431,58,7200,50
875,3761,6621,58,7388,51
880,3804,6641,58,7376,50
885,3757,6873,58,7430,50
890,3769,6977,58,7436,50
895,3762,7650,58,7206,48
900,3791,6977,58,7422,53
905,3775,7304,58,7164,53
910,3751,7001,58,7428,49
915,3840,7475,58,7160,52
920,3796,7640,58,7236,49
925,3796,7004,58,7392,50
930,3801,8747,58,6604,52
935,3790,6701,58,7342,53
940,3804,6654,58,7352,52
945,3818,6631,58,7322,50
950,3768,7324,58,7148,49
955,3792,7357,58,7246,48
960,3844,6701,58,7354,52
965,3814,6698,58,7360,48
970,3835,6691,58,7294,48
975,3818,6675,58,7434,48
980,3835,7374,58,7150,47
985,3842,7045,58,7436,48
990,3858,7045,58,7368,47
995,3806,6779,58,7342,52
1000,3827,6641,63,7336,49
1005,3847,6792,63,7400,49
1010,3839,8737,63,6880,48
1015,3832,6779,63,7400,52
1020,3793,6718,63,7368,49
1025,3801,7448,63,7132,49
1030,3839,7021,63,7350,49
1035,3789,6759,63,7498,49
1040,3835,6759,63,7338,49
1045,3845,6631,63,7384,52
1050,3832,6335,63,7428,49
1055,3823,6812,63,7334,50
1060,3854,6624,63,7386,49
1065,3874,7579,63,7136,48
1070,3801,7354,63,7252,48
1075,3876,6913,63,7364,51
1080,3842,6974,63,7352,50
1085,3819,6930,63,7324,47
1090,3867,7751,63,7110,49
1095,3858,6355,63,7314,53
1100,3798,7045,63,7398,48
1105,3867,7374,63,7330,50
1110,3811,6863,63,7400,48
1115,3837,6641,63,7422,48
1120,3814,7011,63,7366,48
1125,3796,6638,63,7314,50
1130,3853,7021,63,7326,49
1135,3814,8040,63,7062,50
1140,3889,6742,63,7314,49
1145,3819,6863,63,7330,50
1150,3811,6641,63,7330,50
1155,3877,7065,63,7320,51
1160,3890,7018,63,7324,47
1165,3856,7018,63,7396,49
1170,3794,6624,63,7314,49
1175,3843,6883,63,7328,48
1180,3793,7065,63,7376,54
1185,3842,7926,63,6944,50
1190,3824,6907,63,7308,54
1195,3842,7011,63,7356,50
1200,3847,7354,63,7312,52
1205,3821,6917,63,7304,52
1210,3785,6654,63,7308,54
1215,3867,7122,63,7348,52
1221,3790,7761,63,6982,51
1226,3835,6415,63,7292,51
1231,3838,6708,63,7312,51
1236,3863,6718,63,7330,54
1241,3809,6735,63,7366,51
1246,3863,7452,63,7180,50
1251,3806,6930,63,7282,54
1256,3816,6658,63,7330,54
1261,3838,6934,63,7284,53
1266,3850,6664,63,7332,54
1271,3845,6664,63,7332,52
1276,3835,6950,63,7272,51
1281,3824,7415,63,7078,54
1286,3863,7004,63,7292,53
1291,3827,6664,63,7286,51
1296,3832,6483,63,7284,55
1301,3821,6725,63,7210,55
1306,3838,6960,63,7304,53
1311,3850,7139,63,7276,52
1316,3845,7098,63,7312,53
1321,3790,6836,63,7274,53
1326,3782,7078,63,7436,55
1331,3867,6708,63,7272,52
1336,3842,7045,63,7368,52
1341,3809,7051,63,7268,54
1346,3803,7065,63,7278,56
1351,3819,6779,63,7326,53
1356,3846,6664,63,7264,52
1361,3813,7071,63,7280,54
1366,3795,6991,63,7282,52
1371,3842,6853,63,7292,53
1376,3877,7354,63,7072,53
1381,3822,7082,63,7256,55
1386,3877,6863,63,7280,53
1391,3835,6974,63,7368,53
1396,3824,6819,63,7276,55
1401,3801,6654,63,7328,53
1406,3818,6917,63,7318,55
1411,3798,7095,63,7218,51
1416,3896,6900,63,7262,50
1421,3817,9013,63,6482,50
1426,3831,7616,63,7002,53
1431,3825,7226,63,7278,51
1436,3894,7051,63,7272,51
1441,3881,6786,63,7074,51
1446,3854,6897,63,7242,51
1451,3878,7038,63,7254,52
1456,3838,7021,63,7242,52
1461,3870,6745,63,7254,52
1466,3898,7021,63,7240,53
1471,3839,7095,63,7256,52
1476,3878,7078,63,7308,51
1481,3868,6917,63,7326,54
1486,3846,6897,63,7268,51
1491,3886,7374,63,7030,50
1496,3831,6745,63,7278,54
1501,3857,6681,64,7236,52
1506,3894,6923,68,7254,52
1511,3894,6685,68,7310,53
1516,3881,6654,68,7270,53
1521,3864,6839,68,7294,50
1526,3836,6759,68,7328,54
1531,3914,6648,68,7240,50
1536,3898,6664,68,7250,51
1541,3880,6654,68,7210,53
1546,3897,7095,68,7238,51
1551,3897,6819,68,7244,50
1556,3903,7502,68,7134,51
1561,3918,6991,68,7234,53
1566,3880,7061,68,7252,51
1571,3888,6691,68,7254,51
1576,3898,6698,68,7284,53
1581,3837,6641,68,7326,55
1586,3921,6786,68,7318,51
1591,3869,7479,68,7016,52
1596,3858,8168,68,6864,51
1601,3900,6752,68,7224,55
1606,3871,6839,68,7270,53
1611,3924,6685,68,7220,52
1616,3877,7071,68,7228,52
1621,3905,6675,68,7264,51
1626,3924,7065,68,7234,50
